date,site,region,pm25_ugm3
2016-01-01,Anzac Square,Canterbury,8.825
2016-01-01,Hampstead,Canterbury,6.596
2016-01-01,Masterton West (Pownall Street),Wellington,4.925
2016-01-01,Patumahoe,Auckland,3.5
2016-01-01,Penrose,Auckland,7.9
2016-01-01,Rangiora,Canterbury,5.129
2016-01-01,Rotorua at Edmund Rd,Bay of Plenty,3.017
2016-01-01,St Albans,Canterbury,8.908
2016-01-01,Takapuna,Auckland,6.6
2016-01-01,Waimate Kennedy,Canterbury,6.179
2016-01-01,Wainuiomata (Moohan Street),Wellington,7.88
2016-01-01,Woolston,Canterbury,5.567
2016-01-02,Anzac Square,Canterbury,9.167
2016-01-02,Hampstead,Canterbury,6.675
2016-01-02,Masterton West (Pownall Street),Wellington,4.945
2016-01-02,Patumahoe,Auckland,2.5
2016-01-02,Penrose,Auckland,4.8
2016-01-02,Plunket AQ,Tasman,3.8
2016-01-02,Rangiora,Canterbury,7.192
2016-01-02,Rotorua at Edmund Rd,Bay of Plenty,2.549
2016-01-02,St Albans,Canterbury,9.242
2016-01-02,Takapuna,Auckland,5.3
2016-01-02,Waimate Kennedy,Canterbury,5.929
2016-01-02,Wainuiomata (Moohan Street),Wellington,5.287
2016-01-02,Woolston,Canterbury,6.329
2016-01-03,Anzac Square,Canterbury,6.575
2016-01-03,Hampstead,Canterbury,4.228
2016-01-03,Masterton West (Pownall Street),Wellington,2.073
2016-01-03,Patumahoe,Auckland,1.6
2016-01-03,Plunket AQ,Tasman,0.4
2016-01-03,Rangiora,Canterbury,3.121
2016-01-03,Rotorua at Edmund Rd,Bay of Plenty,2.154
2016-01-03,St Albans,Canterbury,5.446
2016-01-03,Takapuna,Auckland,2.6
2016-01-03,Waimate Kennedy,Canterbury,3.358
2016-01-03,Woolston,Canterbury,3.6
2016-01-04,Anzac Square,Canterbury,4.958
2016-01-04,Hampstead,Canterbury,2.783
2016-01-04,Masterton West (Pownall Street),Wellington,3.514
2016-01-04,Patumahoe,Auckland,1.9
2016-01-04,Plunket AQ,Tasman,3.2
2016-01-04,Rangiora,Canterbury,2.471
2016-01-04,Rotorua at Edmund Rd,Bay of Plenty,2.304
2016-01-04,St Albans,Canterbury,5.15
2016-01-04,Takapuna,Auckland,2.6
2016-01-04,Waimate Kennedy,Canterbury,2.254
2016-01-04,Wainuiomata (Moohan Street),Wellington,3.539
2016-01-04,Woolston,Canterbury,3.163
2016-01-05,Anzac Square,Canterbury,6.742
2016-01-05,Hampstead,Canterbury,4.458
2016-01-05,Masterton West (Pownall Street),Wellington,3.913
2016-01-05,Patumahoe,Auckland,4.0
2016-01-05,Plunket AQ,Tasman,4.6
2016-01-05,Rangiora,Canterbury,3.813
2016-01-05,Rotorua at Edmund Rd,Bay of Plenty,5.936
2016-01-05,St Albans,Canterbury,6.388
2016-01-05,Takapuna,Auckland,4.5
2016-01-05,Waimate Kennedy,Canterbury,2.817
2016-01-05,Wainuiomata (Moohan Street),Wellington,4.703
2016-01-05,Woolston,Canterbury,4.246
2016-01-06,Anzac Square,Canterbury,11.029
2016-01-06,Hampstead,Canterbury,6.518
2016-01-06,Masterton West (Pownall Street),Wellington,2.751
2016-01-06,Nelson at St Vincent St,Nelson,4.0
2016-01-06,Patumahoe,Auckland,4.7
2016-01-06,Penrose,Auckland,4.1
2016-01-06,Plunket AQ,Tasman,3.9
2016-01-06,Rangiora,Canterbury,5.154
2016-01-06,Rotorua at Edmund Rd,Bay of Plenty,3.498
2016-01-06,St Albans,Canterbury,8.329
2016-01-06,Takapuna,Auckland,3.7
