event_date,date,relative_day,pm25_ugm3,high_pm25_day
2018-05-05,2018-05-05,0,22.92,True
2018-05-05,2018-05-09,4,10.81444,False
2018-05-05,2018-05-11,6,9.5191,False
2018-05-05,2018-05-12,7,5.48208,False
2018-05-06,2018-05-06,0,11.69507,True
2018-05-06,2018-05-09,3,10.81444,False
2018-05-06,2018-05-11,5,9.5191,False
2018-05-06,2018-05-12,6,5.48208,False
2018-05-06,2018-05-13,7,3.69854,False
2018-05-07,2018-05-07,0,11.63799,True
2018-05-07,2018-05-09,2,10.81444,False
2018-05-07,2018-05-11,4,9.5191,False
2018-05-07,2018-05-12,5,5.48208,False
2018-05-07,2018-05-13,6,3.69854,False
2018-05-07,2018-05-14,7,6.29313,False
2018-05-08,2018-05-08,0,11.26674,True
2018-05-08,2018-05-09,1,10.81444,False
2018-05-08,2018-05-11,3,9.5191,False
2018-05-08,2018-05-12,4,5.48208,False
2018-05-08,2018-05-13,5,3.69854,False
2018-05-08,2018-05-14,6,6.29313,False
2018-05-08,2018-05-15,7,5.91118,False
2018-05-10,2018-05-09,-1,10.81444,False
2018-05-10,2018-05-10,0,14.56069,True
2018-05-10,2018-05-11,1,9.5191,False
2018-05-10,2018-05-12,2,5.48208,False
2018-05-10,2018-05-13,3,3.69854,False
2018-05-10,2018-05-14,4,6.29313,False
2018-05-10,2018-05-15,5,5.91118,False
2018-05-10,2018-05-16,6,5.76389,False
2018-05-10,2018-05-17,7,7.36174,False
2018-08-26,2018-08-26,0,12.2852,True
2018-08-26,2018-08-29,3,7.07964,False
2018-08-26,2018-08-30,4,6.85713,False
2018-08-26,2018-08-31,5,9.5358,False
2018-08-26,2018-09-02,7,7.47152,False
2018-08-27,2018-08-27,0,17.72311,True
2018-08-27,2018-08-29,2,7.07964,False
2018-08-27,2018-08-30,3,6.85713,False
2018-08-27,2018-08-31,4,9.5358,False
2018-08-27,2018-09-02,6,7.47152,False
2018-08-27,2018-09-03,7,6.62398,False
2018-08-28,2018-08-28,0,12.54583,True
2018-08-28,2018-08-29,1,7.07964,False
2018-08-28,2018-08-30,2,6.85713,False
2018-08-28,2018-08-31,3,9.5358,False
2018-08-28,2018-09-02,5,7.47152,False
2018-08-28,2018-09-03,6,6.62398,False
2018-08-28,2018-09-04,7,2.57141,False
2018-09-01,2018-08-29,-3,7.07964,False
2018-09-01,2018-08-30,-2,6.85713,False
2018-09-01,2018-08-31,-1,9.5358,False
2018-09-01,2018-09-01,0,11.35132,True
2018-09-01,2018-09-02,1,7.47152,False
2018-09-01,2018-09-03,2,6.62398,False
2018-09-01,2018-09-04,3,2.57141,False
2018-09-01,2018-09-05,4,1.11626,False
2018-09-01,2018-09-06,5,2.22401,False
2018-09-01,2018-09-07,6,2.51487,False
2018-09-01,2018-09-08,7,1.68078,False
2018-10-20,2018-10-13,-7,3.5683,False
2018-10-20,2018-10-14,-6,7.04718,False
2018-10-20,2018-10-15,-5,5.44483,False
2018-10-20,2018-10-16,-4,7.37653,False
2018-10-20,2018-10-17,-3,4.2546,False
2018-10-20,2018-10-18,-2,7.07952,False
2018-10-20,2018-10-19,-1,6.4287,False
2018-10-20,2018-10-20,0,11.43843,True
2018-10-20,2018-10-21,1,7.88943,False
2018-10-20,2018-10-22,2,8.67248,False
2018-10-20,2018-10-23,3,8.15682,False
2018-10-20,2018-10-24,4,6.31072,False
2018-10-20,2018-10-25,5,5.54241,False
2018-10-20,2018-10-26,6,8.12428,False
2018-10-20,2018-10-27,7,7.70761,False
2018-11-04,2018-10-28,-7,4.08014,False
2018-11-04,2018-10-29,-6,4.58897,False
2018-11-04,2018-10-30,-5,4.51737,False
2018-11-04,2018-10-31,-4,3.4842,False
2018-11-04,2018-11-01,-3,5.51275,False
2018-11-04,2018-11-02,-2,6.60512,False
2018-11-04,2018-11-03,-1,9.13535,False
2018-11-04,2018-11-04,0,11.46204,True
2018-11-04,2018-11-05,1,9.41541,False
2018-11-04,2018-11-06,2,9.42945,False
2018-11-04,2018-11-07,3,8.69876,False
2018-11-04,2018-11-08,4,6.98362,False
2018-11-04,2018-11-09,5,6.62324,False
2018-11-04,2018-11-10,6,8.26897,False
2018-11-04,2018-11-11,7,7.30102,False
2019-01-30,2019-01-26,-4,4.45751,False
2019-01-30,2019-01-27,-3,4.03837,False
2019-01-30,2019-01-28,-2,3.18842,False
2019-01-30,2019-01-29,-1,5.71477,False
2019-01-30,2019-01-30,0,14.18899,True
2019-01-30,2019-02-01,2,11.13883,False
2019-01-30,2019-02-02,3,7.11743,False
2019-01-30,2019-02-03,4,5.47237,False
2019-01-30,2019-02-04,5,9.65014,False
2019-01-30,2019-02-05,6,8.74224,False
2019-01-30,2019-02-06,7,6.88834,False
2019-01-31,2019-01-26,-5,4.45751,False
2019-01-31,2019-01-27,-4,4.03837,False
2019-01-31,2019-01-28,-3,3.18842,False
2019-01-31,2019-01-29,-2,5.71477,False
2019-01-31,2019-01-31,0,14.98189,True
2019-01-31,2019-02-01,1,11.13883,False
2019-01-31,2019-02-02,2,7.11743,False
2019-01-31,2019-02-03,3,5.47237,False
2019-01-31,2019-02-04,4,9.65014,False
2019-01-31,2019-02-05,5,8.74224,False
2019-01-31,2019-02-06,6,6.88834,False
2019-01-31,2019-02-07,7,3.09922,False
2019-06-03,2019-05-30,-4,7.49375,False
2019-06-03,2019-05-31,-3,4.91528,False
2019-06-03,2019-06-01,-2,6.12431,False
2019-06-03,2019-06-02,-1,6.11528,False
2019-06-03,2019-06-03,0,13.67778,True
2019-06-03,2019-06-04,1,7.90694,False
2019-06-03,2019-06-05,2,6.78056,False
2019-06-03,2019-06-06,3,4.85903,False
2019-06-03,2019-06-07,4,6.70903,False
2019-06-03,2019-06-10,7,8.56042,False
2019-06-08,2019-06-01,-7,6.12431,False
2019-06-08,2019-06-02,-6,6.11528,False
2019-06-08,2019-06-04,-4,7.90694,False
2019-06-08,2019-06-05,-3,6.78056,False
2019-06-08,2019-06-06,-2,4.85903,False
2019-06-08,2019-06-07,-1,6.70903,False
2019-06-08,2019-06-08,0,13.37153,True
2019-06-08,2019-06-10,2,8.56042,False
2019-06-08,2019-06-11,3,9.56389,False
2019-06-08,2019-06-15,7,5.8,False
2019-06-09,2019-06-02,-7,6.11528,False
2019-06-09,2019-06-04,-5,7.90694,False
2019-06-09,2019-06-05,-4,6.78056,False
2019-06-09,2019-06-06,-3,4.85903,False
