relative_day,mean,sd,n,se,ci_low,ci_high,baseline_control_mean,diff_vs_control,ci_low_diff,ci_high_diff
-7,16.02127659574468,4.202835921997674,141,0.35394263456377156,15.327549031999688,16.715004159489673,16.488658777120314,-0.46738218137563337,-1.1611097451206263,0.22634538236935953
-6,16.224489795918366,4.399246383729624,147,0.3628437262682552,15.513316092432586,16.935663499404146,16.488658777120314,-0.2641689812019479,-0.9753426846877282,0.4470047222838325
-5,16.394904458598727,4.201278745785344,157,0.33529854650038643,15.73771930745797,17.052089609739486,16.488658777120314,-0.09375431852158655,-0.7509394696623435,0.5634308326191722
-4,16.185185185185187,4.47799619980784,162,0.3518246087790793,15.495608951978191,16.874761418392183,16.488658777120314,-0.303473591935127,-0.9930498251421227,0.38610264127186866
-3,16.337579617834393,4.0943271262831225,157,0.32676287802065695,15.697124376913905,16.97803485875488,16.488658777120314,-0.15107915928592064,-0.7915344002064089,0.4893760816345676
-2,16.58823529411765,4.7210648331749665,136,0.4048279696277806,15.794772473647198,17.381698114588097,16.488658777120314,0.09957651699733461,-0.693886303473116,0.8930393374677834
-1,16.322222222222223,4.7162825242916515,90,0.49713982885366736,15.347828157669035,17.29661628677541,16.488658777120314,-0.16643655489809106,-1.140830619451279,0.8079575096550968
0,16.966507177033492,4.438016248539881,209,0.30698400299876916,16.364818531155905,17.56819582291108,16.488658777120314,0.47784839991317796,-0.12384024596440923,1.0795370457907651
1,17.032608695652176,4.431285098638774,92,0.46199340793125543,16.127101616106916,17.938115775197435,16.488658777120314,0.5439499185318617,-0.36155716101339763,1.449456998077121
2,17.134751773049647,4.725644110528408,141,0.397971026595818,16.354728560921842,17.914774985177452,16.488658777120314,0.6460929959293331,-0.1339302161984719,1.4261162080571381
3,16.30722891566265,4.87002664749178,166,0.3779873742654595,15.56637366210235,17.048084169222953,16.488658777120314,-0.18142986145766216,-0.9222851150179636,0.5594253921026393
4,16.188235294117646,4.287022159677218,170,0.3287995902885267,15.543788097152134,16.83268249108316,16.488658777120314,-0.3004234830026675,-0.9448706799681794,0.34402371396284437
5,16.588957055214724,4.189537322858674,163,0.3281498888743627,15.945783273020973,17.232130837408477,16.488658777120314,0.10029827809441016,-0.5428755040993405,0.7434720602881626
6,17.01290322580645,4.7413449469700435,155,0.38083399064005324,16.266468604151946,17.759337847460955,16.488658777120314,0.5242444486861366,-0.22219017296836796,1.2706790703406412
7,16.728476821192054,4.59555404687971,151,0.3739808845009804,15.995474287570133,17.461479354813974,16.488658777120314,0.23981804407173968,-0.4931844895501811,0.9728205776936605
