relative_day,mean_adm,n,diff_vs_control
-7,16.02127659574468,141,-0.46738218137563337
-6,16.224489795918366,147,-0.2641689812019479
-5,16.394904458598727,157,-0.09375431852158655
-4,16.185185185185187,162,-0.303473591935127
-3,16.337579617834393,157,-0.15107915928592064
-2,16.58823529411765,136,0.09957651699733461
-1,16.322222222222223,90,-0.16643655489809106
0,16.966507177033492,209,0.47784839991317796
1,17.032608695652176,92,0.5439499185318617
2,17.134751773049647,141,0.6460929959293331
3,16.30722891566265,166,-0.18142986145766216
4,16.188235294117646,170,-0.3004234830026675
5,16.588957055214724,163,0.10029827809441016
6,17.01290322580645,155,0.5242444486861366
7,16.728476821192054,151,0.23981804407173968
