date,site,region,pm25_ugm3,high_pm25_day,pm25_observed
2017-10-15,Claudelands,Waikato,8.80326,False,True
2017-10-16,Claudelands,Waikato,6.93701,False,True
2017-10-17,Claudelands,Waikato,8.02597,False,True
2017-10-18,Claudelands,Waikato,4.44361,False,True
2017-10-19,Claudelands,Waikato,5.19389,False,True
2017-10-20,Claudelands,Waikato,5.60972,False,True
2017-10-21,Claudelands,Waikato,6.06764,False,True
2017-10-22,Claudelands,Waikato,6.06757,False,True
2017-10-23,Claudelands,Waikato,3.6116,False,True
2017-10-24,Claudelands,Waikato,4.58403,False,True
2017-10-25,Claudelands,Waikato,3.65292,False,True
2017-10-26,Claudelands,Waikato,6.74646,False,True
2017-10-27,Claudelands,Waikato,2.90417,False,True
2017-10-28,Claudelands,Waikato,2.14549,False,True
2017-10-29,Claudelands,Waikato,4.74,False,True
2017-10-30,Claudelands,Waikato,6.15847,False,True
2017-10-31,Claudelands,Waikato,5.51104,False,True
2017-11-01,Claudelands,Waikato,4.18785,False,True
2017-11-02,Claudelands,Waikato,4.8834,False,True
2017-11-03,Claudelands,Waikato,6.61736,False,True
2017-11-04,Claudelands,Waikato,5.58146,False,True
2017-11-05,Claudelands,Waikato,5.79021,False,True
2017-11-06,Claudelands,Waikato,6.09264,False,True
2017-11-07,Claudelands,Waikato,4.76667,False,True
2017-11-08,Claudelands,Waikato,7.23208,False,True
2017-11-09,Claudelands,Waikato,5.51458,False,True
2017-11-10,Claudelands,Waikato,4.50924,False,True
2017-11-11,Claudelands,Waikato,4.16111,False,True
2017-11-12,Claudelands,Waikato,3.08493,False,True
2017-11-13,Claudelands,Waikato,3.64597,False,True
2017-11-14,Claudelands,Waikato,3.97146,False,True
2017-11-15,Claudelands,Waikato,5.715,False,True
2017-11-16,Claudelands,Waikato,3.99313,False,True
2017-11-17,Claudelands,Waikato,4.8459,False,True
2017-11-18,Claudelands,Waikato,4.10736,False,True
2017-11-19,Claudelands,Waikato,2.12986,False,True
2017-11-20,Claudelands,Waikato,1.48701,False,True
2017-11-21,Claudelands,Waikato,4.43965,False,True
2017-11-22,Claudelands,Waikato,4.58076,False,True
2017-11-23,Claudelands,Waikato,5.99111,False,True
2017-11-24,Claudelands,Waikato,6.06771,False,True
2017-11-25,Claudelands,Waikato,9.29132,False,True
2017-11-26,Claudelands,Waikato,4.59104,False,True
2017-11-27,Claudelands,Waikato,5.29028,False,True
2017-11-28,Claudelands,Waikato,5.30535,False,True
2017-11-29,Claudelands,Waikato,4.48375,False,True
2017-11-30,Claudelands,Waikato,7.21313,False,True
2017-12-01,Claudelands,Waikato,5.4225,False,True
2017-12-02,Claudelands,Waikato,4.48167,False,True
2017-12-03,Claudelands,Waikato,5.73208,False,True
